PMID ,PERSON
18586737,Sophie Piperno-Neumann
18586737,Simon Saule
18586737,Institut Curie
18586737,Philippe Hup\xc3\xa9
18586737,F.R.
18586737,E.B.
18586737,Equipe
18586738,Brona Brejova
18586738,Tomas Vinar
18757874,Rasmus R. Schr\xc3\xb6der
18757874,Kenneth C. Holmes
18757874,Dalia Segal
18757874,Sharon Wolf
18757874,Amnon Horovitz
18757874,Michael E. Brandt
18757874,Jochen Heyd
18757874,W. M. Keck
18603567,J.K.
18603567,J.A.
19417059,Juok Cho
19417059,Dan Bolser
19417059,Duangrudee Tanramluk
19417059,Richard Bickerton
19417059,Bernardo Ochoa
18990721,Maria Fookes
18990721,Tim Perkins
19376825,Ben Good
19376825,Mark Wilkinson
20519285,Leonardo Mari\xc3\xb1o-Ram\xc3\xadrez
20519285,Joshua S. Weitz
19910305,Sven Findei\xc3\x9f
19910305,Sharon Selzo
19910305,Kathy Tzeng
19910305,Deutsche Forschungsgemeinschaft
20823330,Han Brunner
20823330,Martin Oti
20823330,van Driel
20823330,Regione Piemonte
20651112,Dougie Lamont
20651112,David Campbell
20651112,Tom Walsh
21685058,TeraGrid
11472630,Frank King
11472630,BioInfoBank
16110343,G. Cesarenni
16110343,Phil Irving
16110343,Caroline Lemerle
16110343,Ignacio Enrique Sanchez
16110343,Tecnologia
16110344,Varadachari Krishnan
