PMID, Ack, Gender 
17237073, Andreas Kahari,male
17237073, Stefan Gr?f,male
18567917, Yuri Merezhuk,???
18567917, Ivan Ovcharenko,male
18593718, J?rome Gouzy,???
18593718, Jason S Iacovoni,male
18593718, R?gion Bretagne,???
18952627, Gennady Denisov,???
18952627, Aaron Halpern,male
18952627, Saul Kravitz,male
18952627, Laura Sheahan,female
18952627, Tim Stockwell,male
18952627, Shibu Yooseph,???
18952627, Swapna Annavarapu,???
18952627, Les Foster,male
18952627, Hernan Lorenzi,male
18952627, Diana Radune,female
18952627, Joana Da Silva,female
18952627, Indresh Singh,???
18952627, Craig Venter,male
18940824, Sven Siebert,???
18940824, Cynthia M Sharma,female
18940824, J?rg Vogel,???
18940824, Michael Beckstette,male
18940828, Koen Smets,male
18940828, Taku Kudo,???
18940828, Francesca Diella,female
18984598, Barbara Wold,female
18984598, Zhengqing Ouyang,???
18984598, Xi Chen,???
18984598, Xiao Tong,???
18953045, David Maddison,male
18922806, John McCrae,both
18845581, Christopher Newbold,male
18852176, Yong Woo,???
18852176, Gary Churchill,male
18852176, Elissa Chesler,female
18852176, Michael Brockman,male
18852176, Carol Bult,female
18852176, Hyuna Yang,???
18852176, Joel Richardson,male
18842597, Sonya Clegg,female
18842598, Martin Storm,male
18842598, Terry Turner,male
18842598, Bergman,???
18930952, Simon Chiang,male
18025002, Andrew Fire,male
18467347, Bing Liu,???
18467347, Yiming Ma,???
18467347, Liu,???
18467347, Eivind Almaas,???
18467347, Cheol-Min Ghim,???
18467347, Yongqin Jiao,???
18467344, Christine Green,female
18474506, P?ter Cs?r?s,???
18474506, Eugene Koonin,male
18474506, Jacek Majewski,???
18474506, Igor Rogozin,???
18474506, Scott Roy,male
18480101, Anton Bergheim,male
18480101, Tania Broveak Hide,female
18480101, Mario Jonas,male
18480101, Gwen Koning,female
18480101, Pravesh Ranchod,???
18480101, Peter van Heusden,male
18480101, Jeff Chen,male
18480101, Jeremy Main,male
18480101, Albert Gazendam,male
18480101, Ananth Kalyanaraman,???
18499696, Matthew Hibbs,male
18499696, Chad Myers,male
18586706, Oliver Rando,male
18586706, Ofer Meshi,???
18586706, Naomi Habib,female
18586706, Hanah Margalit,???
18586706, Ilan Wapinski,???
18586708, Wistrand,???
18586709, Fritz Melchers,male
18586709, Roland Krause,male
18586710, Richard Mann,male
18586710, Gabor Halasz,???
18586710, Ronald Tepper,male
18586712, David Baker,male
18586713, LIBI,???
18586714, Groh,???
18586714, Donald,male
18586714, Richardson,???
18586717, Michal Linial,male
18586717, Julia Shifman,female
18586717, Ora,female
18586717, Nati Linial,???
18586718, Bley,???
18586718, Ljubi?,???
18586718, Moser,???
18586719, Science,???
18586720, De Rycke,???
18586722, Oznur Tastan,???
18586723, Pallavi Kaipa,???
18586723, Ron Caspi,male
18586724, Erfan Younesi,???
18586724, Harsha Gurulingappa,???
18586724, Katrin Tomanek,???
18586724, Theo Mevissen,male
18586725, David J States,male
18586725, Alex Ade,male
18586725, Anthony Fader,male
18586725, Joshua Gerrish,male
18586726, Andrew McCallum,male
18586726, Fernando Pereira,male
18586726, Kuzman Ganchev,???
18586729, Alan Rector,male
18586729, Elena Bei?wanger,female
18586729, Jena,female
18586729, Udo Hahn,???
18586729, Jena,female
18586729, Eric van Mulligen,male
18586729, L?szl? van den Hoek,???
18586729, Olivier Bodenreider,???
18586729, BOOTStrep,???
18586731, Gibrat,???
18586731, Anne Morgat,female
18586731, Eric Coissac,male
18586731, Sarah Cohen Boulakia,female
18586732, Chad Myers,male
18586732, Matthew Hibbs,male
18586732, Florian Markowetz,male
18586732, David Hess,male
18586732, Camelia Chiriac,???
18586733, Dr Amy Harms,female
18586733, Dr Gregory Barrett-Wilt,male
18586733, Angela Walker,female
18586733, Takis Papoulias,???
18586737, J?r?me Couturier,???
18586737, Sophie Piperno-Neumann,female
18586737, Simon Saule,male
18586737, Institut Curie,???
18586737, Philippe Hup?,???
18586737, Equipe,???
18586738, Tomas Vinar,male
18586739, Dr Jean Yee Hwa Yang,both
18586739, Dr Monnie McGee,female
18586740, Fulop Bazs?,???
18586740, Gabor Borgulya,???
18586740, Andrea Petroczi,female
18586740, Penny Bidgood,female
18586740, James Denholm-Price,both
18586741, Zhou,???
18586742, Anthony Quinn,male
18586742, Nati Linial,???
18586742, Ori Sasson,???
18586742, Roy Varshavsky,male
18785330, Ari Frank,male
18785330, Sangtae Kim,both
18586745, Alexey Kondrashov,???
18586745, Lars Feuk,male
18586745, Stephen Scherer,male
18586745, Yevgeny Brudno,???
18586745, Andy Pang,male
18586745, Paul Medvedev,male
18586745, Stephen Rumble,male
18586746, Schweikert,???
18586750, Ken Wolfe,male
18586750, Kevin Byrne,male
18586750, Jonathan Gordon,male
18586750, Howard Bussey,male
18586750, Eric Tannier,male
18586750, Robert Warren,male
18445605, Michael Smoot,male
18445605, Ethan Cerami,male
18445605, Benjamin Gross,male
18445605, Daniel Abel,male
18445605, Alexander Pico,male
18445605, Cytoscape,???
18434342, Marie Curie,female
18400773, Antonio Jimeno Yepes,male
18400773, BOOTStrep,???
18375964, Dr Rieko Ishima,???
18397894, Dirk Linke,male
18397894, Marcin Grynberg,???
18378525, Science,???
18388142, Martin Karlsson,male
18829707, Yanay Ofran,???
18829707, Rajesh Nair,???
18829707, Avner Schlessinger,???
18829707, Marco Punta,male
18829707, Jinfeng Liu,???
18227117, Florian Markowetz,male
18227117, Rainer Spang,???
18227117, Andreas Bune?,male
18227117, Markus Ruschhaupt,male
18227117, Ruprecht Kuner,???
18227117, Dirk Ledwinda,male
18723522, Alex Bateman,male
18723522, Alex Bateman,male
18776193, Anthony Capra,male
18776193, Mona Singh,female
18776193, Eunseog Youn,???
18776193, Sean Mooney,male
18757874, Rasmus R Schr?der,???
18757874, Kenneth C Holmes,male
18757874, Dalia Segal,female
18757874, Sharon Wolf,female
18757874, Amnon Horovitz,???
18757874, Michael E Brandt,male
18757874, Jochen Heyd,???
18784118, Stuart Schreiber,male
18784118, John Tallarico,both
18784118, Nathaniel Gray,male
18784118, Gabriel Berriz,male
18784118, Lan Zhang,???
18784118, John Sullivan,both
18784118, Caroline Shamu,female
18606607, Roland Luethy,male
18606607, Jonathan Katz,male
18606607, Natalie Tasman,female
18606607, Brian Pratt,male
18606607, Eric Deutsch,male
18776194, John Reinitz,both
18776194, Stefan Maetschke,male
18776194, Fabian Buske,male
18776194, Lachlan Dufton,male
18779234, Narasimha Rao,???
18779234, Wengang Zhou,???
18776192, Science,???
18703587, Alexey Murzin,???
18703587, Kiyoshi Nagai,male
18703587, Dr Maria Garcia-Alai,female
18703587, Dr Trevor Rutherford,male
18703587, Alan Fersht,male
18718942, Perl Monks,???
18718942, Perl,???
18710876, Jinbo Xu,???
18757876, Jinfeng Liu,???
18757876, Andrew Kernytsky,male
18757876, Chani Weinreb,???
18757876, Marco Punta,male
18757876, Avner Schlessinger,???
18757876, Dariusz Przybylski,???
18676972, Markus Ruschhaupt,male
18676972, Ruprecht Kuner,???
18676972, Dirk Ledwinda,male
18676415, Pierre Mah?,male
18676415, V?ronique Stoven,???
18635567, Martin Schumacher,male
18635567, Thomas Gerds,male
18635567, Le Borgne,male
18635567, Sotiriou,???
18635567, Delorenzi,???
18635567, Piccart,???
18697767, J Beaver,???
18697767, E Birney,???
18697767, Bult,???
18697767, R Gerszten,???
18697767, Kasprzyk,???
18697767, D Maglott,???
18697767, J Mellor,???
18697767, T Shtatland,???
18697767, Keck,???
18678588, Johannes S?ding,???
18678588, Beth Cockerham,female
18678588, Kiran Garimella,???
18617538, Clive Hoggart,male
18617538, Guy Leschziner,male
18614583, Eva Balso-Canto,female
18614583, Julie Blumberg,female
18614583, Stefan Hengl,male
18614583, Clemens Kreutz,male
18614583, Stefan Legewie,male
18614583, David Liffmann,male
18614583, Christian Ludwig,male
18614583, Peter Nickel,male
18614583, Tatsunori Nishimura,???
18614583, Martin Peifer,male
18614583, Andreas Raue,male
18614583, Marcel Schilling,male
18653522, Ian Brock Conflict,male
18603566, Yuriy Mishchenko,???
18603566, Ting Zhao,???
18603566, Jonathan Wren,male
18603566, Margaret Jefferies,female
18603566, Badrinath Roysam,???
18603566, Julie Simpson,female
18603566, Phuong Chung,???
18625612, Peter Hung,male
18625612, Herbert Chase,male
18625612, Daniel Stein,male
19088121, Harm van Bakel,male
19088121, Jeff Liu,male
19088121, Gary Bader,male
19088121, Alan Davidson,male
19237444, Zhenyu Xu,???
19237444, Paul McGettigan,male
18703588, Dr Colleen Fordyce,female
18703588, Dr Kurt Thorn,male
19237449, H Saadi,???
19237449, Sansom,???
19237449, Scott,male
19237449, Chetwynd,???
19237447, Van Cortenbosch,male
19237446, Ching-Li Hsu,???
19237446, Tzu-Hui Wu,???
19237446, Kuen-Bor Chen,???
19237446, Chien-Hwa Chang,???
19237446, Kuang-Lee Li,???
19237446, Yu,???
19237446, Chung-Cheng Liu,???
19237446, Chong-Chou Lee,both
19237446, Lu,female
19237446, Charles Lee,male
19237446, Meijyh Kang,???
19237446, Yi-Lin Wu,???
19193730, Jens Nilsson,male
19254921, Peter Chen,male
19254921, Mike Cariaso,male
19254921, Jason Zhang,male
19254921, Dan Sommer,male
19254921, Mihai Pop,???
19254921, Art Delcher,male
19254921, Bill Klimke,male
18326507, Dr Angel W Lee,male
19515959, Eric Cabot,male
19515959, Michael Cox,male
19515959, John Battista,both
19497932, Dr Sam Kariuki,male
19497932, Dr Rumina Hasan,male
19497932, Dr Rajni Gaind,???
19497932, Dr Shanta Dutta,female
19497935, Ming Tang,???
19505943, James Bonfield,both
19505941, Tony Watt,male
19505942, Tikhonov,???
19505942, J Cho,???
19505942, R Santamaria,???
19286833, Hugues Richard,male
19401402, Lothar Altschmied,???
19401402, Helmut B?umlein,???
19401402, Udo Conrad,male
19401402, Urs H?hnel,???
19401402, Gudrun M?nke,???
19401402, Alexander Schliep,male
19401402, Stefan Posch,male
19389732, Gabriele Schweikert,???
19389732, S?ren Sonnenburg,???
19389732, Alexander Zien,male
19389732, Max Planck,male
19202194, Dean Jerry,male
19202194, Elizabeth Thompson,female
19470584, Anna Panchenko,female
19470584, John Spouge,both
19468053, Sandro Lambeck,???
19420051, Ivens,???
19420051, Grove,male
19420051, Mutua Madrile?a,???
19497936, Andrew Berry,male
19497936, Mandy Sanders,female
19497936, Danielle Walker,female
19505945, Juan M Garcia-Gomez,male
19505945, Jordi Burguet-Castell,male
19505945, Pablo Escobar,male
19505945, Joaqu?n T?rraga,???
19505945, Jos? Castresana,???
19398448, Weber,???
19398448, Castillo,???
19417059, Juok Cho,???
19417059, Dan Bolser,male
19417059, Duangrudee Tanramluk,???
19417059, Richard Bickerton,male
19417059, Bernardo Ochoa,male
19808877, Jonathan Pritchard,male
19808877, Molly Przeworski,female
19808877, Matthew Stephens,male
19808877, Paul Zumbo,male
19808877, Mark Domanus,male
19828575, Andrew Torda,male
19812110, Alain Laederach,male
19812110, Daniel Herschlag,male
19812110, Rhiju Das,???
19812110, Samuel Flores,male
19812110, Christopher Bruns,male
19812110, Marc Parisien,male
19846439, AIST,???
19846439, Masaru Watanabe,???
19846439, AIST,???
19808880, Steven Pollard,male
19808880, Anna Falk,female
19837718, Richard Lu,male
19837718, Frederic Breard,male
19837718, Rick Valenzano,male
19837718, Uzma Khan,???
19770262, Wynne Lok,???
19770262, Aditya Aggarwal,male
19770262, Jiantao Lu,female
19770262, Dr Robert Beiko,male
19770262, Haibin Liu,???
19789269, Dr Nobuhiro,???
19789269, Dr Gavin Cawley,male
19786482, Patti,female
19786482, Dr R Kahn,???
19770263, Brohee,???
19770263, van Helden,???
19770263, Newman,male
19789266, John Stone,both
19776214, Choron,???
19776214, P Bonnaure,???
19776214, Baumgaertel,???
19776214, Rihet,???
19776214, Brun,???
19776214, Jacq,???
19074506, Ewen Lescop,???
19074506, Fran?ois Bontems,???
19074506, Olivier Serve,???
19074506, Guillaume Loire,???
19091771, Andrew Su,male
19091771, Tim Wiltshire,male
19129208, Giovanna Felis,female
19091773, Bruno Jedynak,male
19091773, Christopher Wiggins,male
19106121, Ben Bolstad,male
19106121, Mark Dunning,male
19106121, Crispin Miller,male
19106121, Gregoire Pau,???
19106121, Deepayan Sarkar,???
19038986, Dr R Sowdhamini,???
19038986, Sandhya Sankaran,???
19015140, Martin Engler,male
19015140, Dr H Luftmann,???
19015140, Universit?t M?nster,???
19015140, Organisch-Chemisches Institut,???
19015140, Alexander,male
19042916, Sylvain Lambermont,???
19042916, Dr Leheup,???
19042916, Amine Rouhane-Hac?ne,???
19042916, Dave Ritchie,male
19042916, Amis,???
19042916, Lorraine,female
19015141, Kevin Bleakley,male
