PMID, FirstName, LastName, Rank, Gender 
17237073,Robert D., Finn, 1, male
17237073,James W., Stalker, 2, both
17237073,David K., Jackson, 3, male
17237073,Eugene, Kulesha, 4, male
17237073,Jody, Clements, 5, both
17237073,Roger, Pettett, 6, male
18567917,Aleksandr, Morgulis, 1, UNKNOWN
18567917,George, Coulouris, 2, male
18567917,Yan, Raytselis, 3, UNKNOWN
18567917,Thomas L., Madden, 4, male
18567917,Richa, Agarwala, 5, UNKNOWN
18567917,Alejandro A., Schäffer, 6, male
18558620,Lee A., Newberg, 1, both
18562273,Daniel J., Rigden, 1, male
18562273,Michael Y., Galperin, 2, male
18593718,Olivier, Filangi, 1, UNKNOWN
18593718,Yoann, Beausse, 2, UNKNOWN
18593718,Anthony, Assi, 3, male
18593718,Ludovic, Legrand, 4, UNKNOWN
18593718,Jean-Marc, Larré, 5, UNKNOWN
18593718,Véronique, Martin, 6, UNKNOWN
18593718,Olivier, Collin, 7, UNKNOWN
18593718,Christophe, Caron, 8, male
18593718,Hugues, Leroy, 9, UNKNOWN
18593718,David, Allouche, 10, male
18573796,Shuo, Jiao, 1, UNKNOWN
18573796,Shunpu, Zhang, 2, UNKNOWN
18535085,R., Schachtner, 1, UNKNOWN
18535085,D., Lutter, 2, UNKNOWN
18535085,P., Knollmüller, 3, UNKNOWN
18535085,A. M., Tomé, 4, UNKNOWN
18535085,F. J., Theis, 5, UNKNOWN
18535085,G., Schmitz, 6, UNKNOWN
18535085,M., Stetter, 7, UNKNOWN
18535085,P. Gómez, Vilda, 8, UNKNOWN
18535085,E. W., Lang, 9, UNKNOWN
18573797,E., Purdom, 1, UNKNOWN
18573797,K. M., Simpson, 2, UNKNOWN
18573797,M. D., Robinson, 3, UNKNOWN
18573797,J. G., Conboy, 4, UNKNOWN
18573797,A. V., Lapuk, 5, UNKNOWN
18573797,T.P., Speed, 6, UNKNOWN
18599518,Anthony P., Fejes, 1, male
18599518,Gordon, Robertson, 2, male
18599518,Mikhail, Bilenky, 3, male
18599518,Richard, Varhol, 4, male
18599518,Matthew, Bainbridge, 5, male
18599518,Steven J. M., Jones, 6, male
18596077,Yiqun, Cao, 1, UNKNOWN
18596077,Anna, Charisi, 2, female
18596077,Li-Chang, Cheng, 3, UNKNOWN
18596077,Tao, Jiang, 4, UNKNOWN
18596077,Thomas, Girke, 5, male
18556668,Johannes, Goll, 1, UNKNOWN
18556668,Seesandra V., Rajagopala, 2, UNKNOWN
18556668,Shen C., Shiau, 3, UNKNOWN
18556668,Hank, Wu, 4, male
18556668,Brian T., Lamb, 5, male
18556668,Peter, Uetz, 6, male
18952627,Jason R., Miller, 1, male
18952627,Arthur L., Delcher, 2, male
18952627,Sergey, Koren, 3, UNKNOWN
18952627,Eli, Venter, 4, male
18952627,Brian P., Walenz, 5, male
18952627,Anushka, Brownley, 6, UNKNOWN
18952627,Justin, Johnson, 7, male
18952627,Kelvin, Li, 8, male
